time	air_temperature	precipitation_amount	price
2021-12-01 00:00:00+00:00	1.9	0	1.12077
2021-12-01 01:00:00+00:00	1.7	0	1.02818
2021-12-01 02:00:00+00:00	1.9	0	0.99119
2021-12-01 03:00:00+00:00	1.9	0	0.99068
2021-12-01 04:00:00+00:00	1.7	0	1.0568
2021-12-01 05:00:00+00:00	1.5	0	1.22143
2021-12-01 06:00:00+00:00	1.4	0	1.22215
2021-12-01 07:00:00+00:00	1.6	0	1.24146
2021-12-01 08:00:00+00:00	1.5	0	1.23145
2021-12-01 09:00:00+00:00	1.6	0	1.22205
2021-12-01 10:00:00+00:00	1.7	0	1.22133
2021-12-01 11:00:00+00:00	1.9	0	1.2197
2021-12-01 12:00:00+00:00	1.9	0	1.22092
2021-12-01 13:00:00+00:00	1.5	0	1.2245
2021-12-01 14:00:00+00:00	1.1	0	1.22593
2021-12-01 15:00:00+00:00	-0.2	0	1.24555
2021-12-01 16:00:00+00:00	0.1	0	1.24402
2021-12-01 17:00:00+00:00	0.6	0	1.23462
2021-12-01 18:00:00+00:00	0.3	0	1.22154
2021-12-01 19:00:00+00:00	-0.1	0	1.23584
2021-12-01 20:00:00+00:00	-1.2	0	1.24392
2021-12-01 21:00:00+00:00	-0.8	0	1.22184
2021-12-01 22:00:00+00:00	-0.5	0	1.18516
2021-12-01 23:00:00+00:00	-1.8	0	1.19498
2021-12-02 00:00:00+00:00	-1.1	0	1.15544
2021-12-02 01:00:00+00:00	-1.9	0	1.0879
2021-12-02 02:00:00+00:00	-1.5	0	1.102
2021-12-02 03:00:00+00:00	-2.3	0	1.1229
2021-12-02 04:00:00+00:00	-1.8	0	1.15585
2021-12-02 05:00:00+00:00	-2.3	0	1.35961
2021-12-02 06:00:00+00:00	-2.2	0	1.52796
2021-12-02 07:00:00+00:00	-2.1	0	2.00045
2021-12-02 08:00:00+00:00	-2	0	2.00107
2021-12-02 09:00:00+00:00	-1.3	0	1.95834
2021-12-02 10:00:00+00:00	-0.8	0	2.22058
2021-12-02 11:00:00+00:00	-0.5	0.1	2.16797
2021-12-02 12:00:00+00:00	0.9	0	2.25621
2021-12-02 13:00:00+00:00	0.9	0	2.51063
2021-12-02 14:00:00+00:00	1.3	0	2.9757
